26.01.2018 09:00,,,,,,,,,
Indeksert euro: 119.80,XDR/NOK:11.24,,,,,,,,
USA,1,USD,,7.6437,7.7087,-6.53,7.3170,8.0454,7.6762
Europeiske Union,1,EUR,,9.5404,9.6124,-3.73,9.0835,10.08,9.5764
Sverige,100,SEK,,96.92,98.32,-20.59,93.11,102.14,97.62
Danmark,100,DKK,,127.94,129.34,-49.70,123.26,134.02,128.64
Storbritannia,1,GBP,,10.8915,10.9765,-9.77,10.3590,11.6190,10.9340
Sveits,100,CHF,,818.51,822.41,-92.19,799.80,856.11,820.46
Japan,100,JPY,,7.0179,7.0629,-5.99,6.7324,7.3984,7.0404
Island,100,ISK,x,7.5308,7.7308,-0.46,7.0478,8.2138,7.6308
Arabiske Emirater,1,AED,,2.0855,2.0945,-1.77,1.9030,2.2770,2.0900
Australia,1,AUD,,6.1825,6.2145,-5.97,5.7035,6.6935,6.1985
Bulgaria,100,BGN,x,,493.54,-193.90,441.02,538.06,489.54
Bahrain,1,BHD,,20.32,20.40,-17.32,,,20.36
Brasil,1,BRL,x,,2.4431,-2.23,2.2177,2.7085,2.4381
Bahamas,1,BSD,x,,,-6.53,6.6733,8.6791,7.6762
Botswana,1,BWP,x,,0.8202,-0.38,,,0.8052
Canada,1,CAD,,6.2109,6.2509,-4.99,5.9999,6.5619,6.2309
Chile,100,CLP,x,,,-0.46,0.9939,1.5659,1.2799
Kina,100,CNH,x,,122.41,-72.76,,,121.41
Kina,100,CNY,,120.45,122.45,-73.74,113.38,134.52,121.45
Tsjekkiske Republikk,100,CZK,,37.69,37.89,-10.69,34.93,40.65,37.79
Dominikan. Republikk,1,DOP,x,,,-0.17,0.1279,0.1873,0.1576
Etiopia,1,ETB,,,0.2901,-0.24,,,0.2801
Gambia,100,GMD,x,,,-13.64,11.67,20.40,16.03
Hong Kong,1,HKD,,0.9797,0.9837,-0.87,0.8827,1.0807,0.9817
Kroatia,100,HRK,,128.33,129.73,-35.17,119.13,138.94,129.03
Ungarn,100,HUF,,3.0713,3.1213,-1.37,2.7333,3.4693,3.0963
Indonesia,100,IDR,x,,0.0617,-0.06,0.0467,0.0687,0.0577
Israel,1,ILS,,,2.2984,-0.12,2.0924,2.4744,2.2684
India,1,INR,x,0.1194,0.1224,-0.09,0.1011,0.1407,0.1209
Jordan,1,JOD,x,,,-8.44,9.7268,11.93,10.83
Kenya,100,KES,,,7.5500,-5.64,5.7730,9.2270,7.5000
Sør-Korea,100,KRW,,,0.7332,-0.67,0.6462,0.8002,0.7232
Kuwait,1,KWD,,25.57,25.65,-20.93,,,25.61
Sri Lanka,100,LKR,,,5.2427,-4.08,,,4.9927
Marokko,100,MAD,,,84.87,-46.53,,,84.12
Republ. Makedonia,1,MKD,x,,0.3055,-0.07,,,0.1555
Mauritius,100,MUR,x,,,-16.49,19.08,28.38,23.73
Maldivene,100,MVR,x,,,-42.24,,,49.65
Mexico,100,MXN,,,41.88,-41.51,35.88,46.88,41.38
Malaysia,1,MYR,x,1.9319,2.0219,-1.27,1.6480,2.3058,1.9769
New Zealand,1,NZD,,5.6329,5.6649,-5.66,5.0989,6.1989,5.6489
Oman,1,OMR,,,20.09,-16.96,18.24,21.63,19.94
Filippinene,100,PHP,,,15.35,-12.48,12.26,17.94,15.10
Pakistan,1,PKR,,0.0673,0.0713,-0.06,,,0.0693
Polen,100,PLN,,229.50,233.30,-52.48,204.72,258.07,231.40
Qatar,1,QAR,,2.1038,2.1128,-1.79,1.9213,2.2953,2.1083
Romania,100,RON,,,206.86,-123.39,176.34,233.38,204.86
Serbia,100,RSD,x,,,-3.54,6.5935,9.5405,8.0670
Russiske Føderasjon,100,RUB,,13.31,14.21,-10.85,10.36,17.16,13.76
Saudi Arabia,1,SAR,,2.0423,2.0513,-1.74,1.8048,2.2888,2.0468
Singapore,1,SGD,,5.8712,5.8912,-4.55,5.3422,6.4202,5.8812
Thailand,100,THB,,24.31,24.71,-11.81,21.70,27.31,24.51
Tunisia,1,TND,,,3.2734,4.67,,,3.2234
Tyrkia,100,TRY,,,207.97,-116.16,183.45,232.53,205.47
Taiwan,100,TWD,x,,27.88,-25.00,,,26.38
Tanzania,100,TZS,,,0.3665,-0.31,,,0.3415
Vietnam,100,VND,x,,,-0.03,0.0228,0.0448,0.0338
Sør-Afrika,1,ZAR,,0.6376,0.6576,-0.19,0.5046,0.7906,0.6476
